abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,age,sex,race,hispanic,degree,partyid,relig,relactiv,rincom06,z.age,female,white,black,otherrace,collegeed,protestant,catholic,atheist,z.partyid,z.relactiv,z.rincom06,prochoice,se_prochoice
0,0,0,1,1,1,1,75,2,1,1,0,4,2,0,NA,0.746253901,1,1,0,0,0,0,1,0,0.348730119,-0.419133599,NA,0.028234102,0.127668591
0,1,0,1,0,0,0,46,2,1,1,0,1,2,5,NA,-0.086511495,1,1,0,0,0,0,1,0,-0.430821698,0.650093411,NA,-0.689739486,0.316600417
1,0,1,1,1,1,1,19,1,1,1,1,3,2,0,NA,-0.861844794,0,1,0,0,0,0,1,0,0.088879513,-0.419133599,NA,0.4255311,0.265629365
0,0,0,1,0,0,0,58,1,3,1,0,1,2,1,19,0.258081083,0,0,0,1,0,0,1,0,-0.430821698,-0.205288197,0.319255694,-1.102688074,0.377283687
0,1,1,1,0,1,0,75,2,3,0,3,4,1,0,NA,0.746253901,1,0,0,1,1,1,0,0,0.348730119,-0.419133599,NA,-0.132540911,0.157111797
1,0,0,1,0,1,1,89,1,1,0,1,6,2,0,NA,1.148278575,0,1,0,0,0,0,1,0,0.868431329,-0.419133599,NA,0.009601574,0.127719791
0,0,0,0,0,0,0,41,2,3,1,1,3,2,0,13,-0.230091736,1,0,0,1,0,0,1,0,0.088879513,-0.419133599,-0.176051357,-1.716551686,0.515365984
1,1,1,1,1,1,1,32,1,3,0,3,4,4,0,NA,-0.488536169,0,0,0,1,1,0,0,1,0.348730119,-0.419133599,NA,0.962057214,0.573059215
0,1,0,1,0,1,0,72,1,1,0,3,4,1,0,19,0.660105756,0,1,0,0,1,1,0,0,0.348730119,-0.419133599,0.319255694,-0.438298029,0.256542133
1,1,1,1,1,1,1,66,2,1,0,2,1,4,0,NA,0.487809468,1,1,0,0,0,0,0,1,-0.430821698,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,45,2,1,0,1,4,2,0,NA,-0.115227543,1,1,0,0,0,0,1,0,0.348730119,-0.419133599,NA,0.962057214,0.573059215
